Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
BAR98, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
12.09, 0, 0.09, 0,                              0, 0.09, 0,                              0, 0.09, 1, 0.0,                              0
12.17, 0, 0.17, 0,                              0, 0.17, 0,                              0, 0.17, 4, 0.0,                              0
12.25, 0, 0.25, 1,                              0, 0.25, 1,                              0, 0.25, 8, 0.0,                              0
12.33, 0, 0.32, 2,                              0, 0.32, 2,                              0, 0.32, 11, 0.0,                              0
12.41, 0, 0.4, 2,                              0, 0.4, 2,                              0, 0.4, 15, 0.0,                              0
12.49, 0, 0.48, 3,                              0, 0.48, 3,                              0, 0.48, 18, 0.0,                              0
12.58, 0, 0.57, 4,                              0, 0.57, 3,                              0, 0.57, 22, 0.0,                              0
12.67, 0, 0.66, 4,                              0, 0.66, 4,                              0, 0.66, 26, 0.0,                              0
12.75, 0, 0.74, 5,                              0, 0.74, 5,                              0, 0.74, 29, 0.0,                              0
12.84, 0, 0.84, 6,                              0, 0.84, 5,                              0, 0.84, 33, 0.0,                              0
12.92, 0, 0.91, 7,                              0, 0.91, 6,                              0, 0.91, 37, 0.0,                              0
13.0, 0, 0.99, 7,                              0, 0.99, 7,                              0, 0.99, 40, 0.0,                              0
13.08, 0, 1.07, 8,                              0, 1.07, 7,                              0, 1.07, 44, 0.0,                              0
13.17, 0, 1.16, 9,                              0, 1.16, 8,                              0, 1.16, 48, 0.0,                              0
13.25, 0, 1.24, 9,                              0, 1.24, 8,                              0, 1.24, 51, 0.0,                              0
13.33, 0, 1.32, 10,                              0, 1.32, 9,                              0, 1.32, 55, 0.0,                              0
13.41, 0, 1.4, 11,                              0, 1.4, 10,                              0, 1.4, 58, 0.0,                              0
13.48, 0, 1.48, 11,                              0, 1.48, 10,                              0, 1.48, 61, 0.0,                              0
13.56, 0, 1.56, 12,                              0, 1.56, 11,                              0, 1.56, 65, 0.0,                              0
13.66, 0, 1.65, 13,                              0, 1.65, 11,                              0, 1.65, 69, 0.0,                              0
13.73, 0, 1.73, 13,                              0, 1.73, 12,                              0, 1.73, 72, 0.0,                              0
13.81, 0, 1.81, 14,                              0, 1.81, 13,                              0, 1.81, 76, 0.0,                              0
13.91, 0, 1.9, 15,                              0, 1.9, 13,                              0, 1.9, 80, 0.0,                              0
13.98, 0, 1.98, 16,                              0, 1.98, 14,                              0, 1.98, 83, 0.0,                              0
14.06, 0, 2.06, 16,                              0, 2.06, 14,                              0, 2.06, 86, 0.0,                              0
14.16, 0, 2.15, 17,                              0, 2.15, 15,                              0, 2.15, 90, 0.0,                              0
14.25, 0, 2.25, 18,                              0, 2.25, 16,                              0, 2.25, 95, 0.0,                              0
14.35, 0, 2.34, 18,                              0, 2.34, 17,                              0, 2.34, 99, 0.0,                              0
14.42, 0, 2.42, 19,                              0, 2.42, 17,                              0, 2.42, 102, 0.0,                              0
14.5, 0, 2.5, 20,                              0, 2.5, 18,                              0, 2.5, 105, 0.0,                              0
14.58, 0, 2.58, 21,                              0, 2.58, 18,                              0, 2.58, 109, 0.0,                              0
14.66, 0, 2.66, 21,                              0, 2.66, 19,                              0, 2.66, 112, 0.0,                              0
14.76, 0, 2.75, 22,                              0, 2.75, 20,                              0, 2.75, 116, 0.0,                              0
14.83, 0, 2.83, 23,                              0, 2.83, 20,                              0, 2.83, 120, 0.0,                              0
14.91, 0, 2.91, 23,                              0, 2.91, 21,                              0, 2.91, 123, 0.0,                              0
15.01, 0, 3.0, 24,                              0, 3.0, 22,                              0, 3.0, 127, 0.0,                              0
15.08, 0, 3.08, 25,                              0, 3.08, 22,                              0, 3.08, 131, 0.0,                              0
