Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
SUB01, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
12.12, 0, 0.1, 0,                              0, 0.1, 0,                              0, 0.1, 1, 0.0,                              45
12.2, 0, 0.19, 0,                              0, 0.19, 0,                              0, 0.19, 5, 0.0,                              45
12.28, 0, 0.27, 1,                              0, 0.27, 1,                              0, 0.27, 9, 0.0,                              45
12.38, 0, 0.37, 2,                              0, 0.37, 2,                              0, 0.37, 12, 0.0,                              45
12.5, 0, 0.49, 3,                              0, 0.49, 2,                              0, 0.49, 17, 0.0,                              45
12.6, 0, 0.58, 4,                              0, 0.58, 3,                              0, 0.58, 22, 0.0,                              45
12.68, 0, 0.67, 4,                              0, 0.67, 4,                              0, 0.67, 26, 0.0,                              45
12.77, 0, 0.76, 5,                              0, 0.76, 5,                              0, 0.76, 30, 0.0,                              45
12.86, 0, 0.85, 6,                              0, 0.85, 5,                              0, 0.85, 34, 0.0,                              45
12.94, 0, 0.93, 7,                              0, 0.93, 6,                              0, 0.93, 37, 0.0,                              45
13.03, 0, 1.02, 7,                              0, 1.02, 7,                              0, 1.02, 41, 0.0,                              45
13.12, 0, 1.11, 8,                              0, 1.11, 7,                              0, 1.11, 45, 0.0,                              45
13.21, 0, 1.2, 9,                              0, 1.2, 8,                              0, 1.2, 49, 0.0,                              45
13.3, 0, 1.29, 10,                              0, 1.29, 9,                              0, 1.29, 53, 0.0,                              45
13.4, 0, 1.39, 10,                              0, 1.39, 9,                              0, 1.39, 57, 0.0,                              45
13.5, 0, 1.49, 11,                              0, 1.49, 10,                              0, 1.49, 61, 0.0,                              45
13.59, 0, 1.57, 12,                              0, 1.57, 11,                              0, 1.57, 65, 0.0,                              45
13.67, 0, 1.66, 13,                              0, 1.66, 11,                              0, 1.66, 69, 0.0,                              45
13.76, 0, 1.74, 14,                              0, 1.74, 12,                              0, 1.74, 73, 0.0,                              45
13.84, 0, 1.83, 14,                              0, 1.83, 13,                              0, 1.83, 76, 0.0,                              45
13.93, 0, 1.91, 15,                              0, 1.91, 13,                              0, 1.91, 80, 0.0,                              45
14.01, 0, 2.0, 16,                              0, 2.0, 14,                              0, 2.0, 84, 0.0,                              45
14.1, 0, 2.08, 16,                              0, 2.08, 15,                              0, 2.08, 87, 0.0,                              45
14.18, 0, 2.17, 17,                              0, 2.17, 15,                              0, 2.17, 91, 0.0,                              0
14.27, 0, 2.26, 18,                              0, 2.26, 16,                              0, 2.26, 95, 0.0,                              0
14.37, 0, 2.35, 19,                              0, 2.35, 17,                              0, 2.35, 99, 0.0,                              0
14.45, 0, 2.44, 19,                              0, 2.44, 17,                              0, 2.44, 103, 0.0,                              0
14.54, 0, 2.53, 20,                              0, 2.53, 18,                              0, 2.53, 107, 0.0,                              0
14.64, 0, 2.62, 21,                              0, 2.62, 19,                              0, 2.62, 111, 0.0,                              0
14.73, 0, 2.72, 22,                              0, 2.72, 19,                              0, 2.72, 115, 0.0,                              0
14.82, 0, 2.8, 22,                              0, 2.8, 20,                              0, 2.8, 119, 0.0,                              0
14.9, 0, 2.89, 23,                              0, 2.89, 21,                              0, 2.89, 122, 0.0,                              0
14.99, 0, 2.97, 24,                              0, 2.97, 21,                              0, 2.97, 126, 0.0,                              0
15.07, 0, 3.06, 25,                              0, 3.06, 22,                              0, 3.06, 130, 0.0,                              0
15.16, 0, 3.14, 25,                              0, 3.14, 23,                              0, 3.14, 133, 0.0,                              0
15.25, 0, 3.23, 26,                              0, 3.23, 23,                              0, 3.23, 137, 0.0,                              0
15.33, 0, 3.32, 27,                              0, 3.32, 24,                              0, 3.32, 141, 0.0,                              0
15.42, 0, 3.4, 28,                              0, 3.4, 25,                              0, 3.4, 145, 0.0,                              0
15.5, 0, 3.49, 28,                              0, 3.49, 25,                              0, 3.49, 148, 0.0,                              0
15.59, 0, 3.57, 29,                              0, 3.57, 26,                              0, 3.57, 152, 0.0,                              0
15.67, 0, 3.66, 30,                              0, 3.66, 26,                              0, 3.66, 156, 0.0,                              0
15.76, 0, 3.74, 30,                              0, 3.74, 27,                              0, 3.74, 159, 0.0,                              0
15.84, 0, 3.83, 31,                              0, 3.83, 28,                              0, 3.83, 163, 0.0,                              0
15.94, 0, 3.93, 32,                              0, 3.93, 28,                              0, 3.93, 167, 0.0,                              0
16.02, 0, 4.01, 33,                              0, 4.01, 29,                              0, 4.01, 171, 0.0,                              0
16.1, 0, 4.09, 33,                              0, 4.09, 30,                              0, 4.09, 175, 0.0,                              0
16.2, 0, 4.19, 34,                              0, 4.19, 30,                              0, 4.19, 179, 0.0,                              45
16.29, 0, 4.28, 35,                              0, 4.28, 31,                              0, 4.28, 183, 0.0,                              45
16.37, 0, 4.36, 36,                              0, 4.36, 32,                              0, 4.36, 186, 0.0,                              45
16.46, 0, 4.44, 36,                              0, 4.44, 32,                              0, 4.44, 190, 0.0,                              45
16.54, 0, 4.53, 37,                              0, 4.53, 33,                              0, 4.53, 193, 0.0,                              45
16.63, 0, 4.62, 38,                              0, 4.62, 34,                              0, 4.62, 198, 0.0,                              45
16.72, 0, 4.71, 39,                              0, 4.71, 34,                              0, 4.71, 201, 0.0,                              45
16.8, 0, 4.79, 39,                              0, 4.79, 35,                              0, 4.79, 205, 0.0,                              45
16.89, 0, 4.88, 40,                              0, 4.88, 36,                              0, 4.88, 209, 0.0,                              45
16.97, 0, 4.96, 41,                              0, 4.96, 36,                              0, 4.96, 212, 0.0,                              45
17.05, 0, 5.04, 41,                              0, 5.04, 37,                              0, 5.04, 216, 0.0,                              45
17.14, 0, 5.12, 42,                              0, 5.12, 37,                              0, 5.12, 219, 0.0,                              45
17.23, 0, 5.22, 43,                              0, 5.22, 38,                              0, 5.22, 223, 0.0,                              45
17.31, 0, 5.3, 44,                              0, 5.3, 39,                              0, 5.3, 227, 0.0,                              45
17.39, 0, 5.38, 44,                              0, 5.38, 39,                              0, 5.38, 230, 0.0,                              45
17.47, 0, 5.46, 45,                              0, 5.46, 40,                              0, 5.46, 234, 0.0,                              45
17.56, 0, 5.54, 46,                              0, 5.54, 41,                              0, 5.54, 238, 0.0,                              45
17.64, 0, 5.63, 46,                              0, 5.63, 41,                              0, 5.63, 241, 0.0,                              45
17.72, 0, 5.71, 47,                              0, 5.71, 42,                              0, 5.71, 245, 0.0,                              45
17.8, 0, 5.79, 48,                              0, 5.79, 42,                              0, 5.79, 248, 0.0,                              45
17.88, 0, 5.87, 48,                              0, 5.87, 43,                              0, 5.87, 252, 0.0,                              45
17.96, 0, 5.95, 49,                              0, 5.95, 44,                              0, 5.95, 255, 0.0,                              45
18.05, 0, 6.03, 50,                              0, 6.03, 44,                              0, 6.03, 259, 0.0,                              45
18.13, 0, 6.12, 50,                              0, 6.12, 45,                              0, 6.12, 262, 0.0,                              45
18.21, 0, 6.2, 51,                              0, 6.2, 45,                              0, 6.2, 266, 0.0,                              45
18.31, 0, 6.29, 52,                              0, 6.29, 46,                              0, 6.29, 270, 0.0,                              45
18.39, 0, 6.38, 53,                              0, 6.38, 47,                              0, 6.38, 274, 0.0,                              45
18.47, 0, 6.46, 53,                              0, 6.46, 47,                              0, 6.46, 277, 0.0,                              45
18.56, 0, 6.55, 54,                              0, 6.55, 48,                              0, 6.55, 281, 0.0,                              45
18.65, 0, 6.64, 55,                              0, 6.64, 49,                              0, 6.64, 285, 0.0,                              45
18.75, 0, 6.74, 56,                              0, 6.74, 49,                              0, 6.74, 289, 0.0,                              45
18.83, 0, 6.82, 56,                              0, 6.82, 50,                              0, 6.82, 293, 0.0,                              45
18.93, 0, 6.92, 57,                              0, 6.92, 51,                              0, 6.92, 297, 0.0,                              45
19.03, 0, 7.01, 58,                              0, 7.01, 52,                              0, 7.01, 301, 0.0,                              45
19.12, 0, 7.11, 59,                              0, 7.11, 52,                              0, 7.11, 305, 0.0,                              45
19.2, 0, 7.19, 59,                              0, 7.19, 53,                              0, 7.19, 309, 0.0,                              45
19.3, 0, 7.29, 60,                              0, 7.29, 54,                              0, 7.29, 313, 0.0,                              45
